SampleID,Site,BAI_GR,BIO_GR,Species,julian.date.2011,Tree.Age,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Tree.Height,Branch.Height,Root.Wood.Density,Twig.branching.angle,Slope,Leaf.Area,LCC,LPC,t.b2,Ktwig,Huber.Value,X.Lum,VD,Estem,Branching.Distance,Stem.Wood.Density,LMA,LNC,d15N,Ks,X.Sapwood,d13C,Soil.Fertility,Light,Temperature,pH
J13TIA19,Chemin des Lots I,1.7038379059999997,0.24456632635417738,TIA,201,21,35,3.98,2.88,1.26,405,2.3,NA,61.748,-0.023876105222240627,55.43,45.34640112,20.19515274,0.02690251,1156.327146,0.008758971,0.216759965,4656.409209,-2976.3085410366057,-11.76287629391998,-0.20322391234682435,-31.930223168014443,1.3353489244260872,1.5305632944751448,-18.27338022847452,0.017724757410219106,-1.7574413353653693,-2.43503815495006,1.7481432280041906,-0.8832373156486595,0.5508561870826069
J13ULA10,Chemin des Lots I,0.13069728400000002,0.10963189098676109,ULA,201,39,35,3.14,2.92,2.46,242,2,NA,74.12768333,-0.505349050591087,25.82230769,46.65590721,17.64163555,0.037659678,1056.844286,0.049690071,0.185189755,10663.90478,-2671.6450279366054,-13.64859058391998,0.14263488965317567,-27.08624082801444,0.8312489244260869,-0.5326252585248553,202.77987259152545,-0.6160301735897808,-1.7372730353653676,-1.4089850287154606,1.1250561843681963,-1.3092064181967442,-1.5263607670412043
J14ACP15,Chemin des Lots II,0.3445078800000001,0.3493280684575156,ACP,173,16,10,3.56,2,1,395,2.9,NA,NA,-0.27856765416739176,110.2985714,47.1443,12.64964795,0.015921621,456.4228012,0.022339946,0.101027259,7827.635766,-251.07458918217486,-6.511340290948858,-0.12026101911523508,-3.549897379760063,-0.4428854473482443,-1.5888771421938344,-83.5789105951419,-0.15104059053229554,1.7234260494183524,-2.237224409235412,1.7445616198597897,-0.4006440380094368,1.4099209341390988
J14ACP16,Chemin des Lots II,0.5115592380000002,0.0868999188579269,ACP,186,36,10,3.56,2,1,695,5.35,0.560836502,53.2196,-0.1654798262672474,65.53,47.6154,23.62264499,0.015967414,616.414094,0.006430651,0.094963642,6687.088693,4333.552573931839,-4.247385069828307,-0.06437741440133007,-22.60818205823531,0.1440947966898381,-2.5866449525260937,-70.65229705776062,0.06665093386958625,-1.0999137710169473,-0.7688965806490685,1.2693263233230694,-0.289031811350655,-0.49593076469378095
J14ACSA27,Chemin des Lots II,0.6854439280000001,0.1452690449178964,ACSA,173,29,35,4.76,2.88,3.37,626,4.5,NA,NA,-0.24303523512136743,61.759,48.9605,10.1252913,0.030369903,1004.164705,0.017727042,0.11784226,5520.495455,6938.180790817826,-0.511340290948858,0.08529645688476499,6.840894320239935,-0.38998544734824414,-0.6432594661938346,-61.91608378514192,0.09866258146770449,-0.004976890581649978,-1.3358176541038531,1.3356811969238465,-0.6885394472709918,-0.3904450610473898
J14ACSP11,Chemin des Lots II,0.535582328,1.4831948283160816,ACSP,186,18,5,3.31,2,2,240,1.7,0.554302671,53.1563,0.03884282827740776,51.9695,47.999,16.977786300000002,0.023275164,565.8915918,0.014584498,0.081300479,6318.334843,-3263.9454560681606,-16.330718402828303,-0.09920311840133003,-24.32896232823531,-0.4692052033101616,1.6123530214739061,-72.22066666776063,0.03160357086958625,0.5553310589830537,-1.583662812855494,1.101764984055195,-0.6655001717566394,0.15756637082827757
J14BEA10,Chemin des Lots II,1.594323432,1.0374334378379315,BEA,186,15,25,3.17,3,2,397,3.8,NA,56.99505,1.1906679462859684,25.3846875,46.8912,12.17261915,0.022987145,1121.486081,0.005775666,0.114812476,5319.273125,-2156.1084400681607,10.002614930171692,-0.08463756540133008,-11.550321628235311,-0.23240520331016196,2.4719771094739063,-50.54888781776062,0.22547771186958623,-2.094233681016945,-0.7656511729862073,1.430296358625983,0.13618873106749896,-0.8914832468115296
J14BEA12,Chemin des Lots II,3.5345933379999996,0.8325737043411207,BEA,186,15,25,3.17,3,2,576,4.5,0.569476457,52.6683,0.004180745446236467,38.40714286,47.8637,12.77897573,0.028969021,925.7118071,0.002828762,0.120875905,6692.063989,672.8650229318398,34.252614930171696,-0.021800988401330074,-3.7208533682353058,0.35489479668983803,1.165579997473906,-60.576574847760625,0.2216973328695863,-1.1428454410169488,-1.2302796395794793,1.5321201206772277,0.14328166632049777,0.7337533663729463
J14FAG22,Chemin des Lots II,0.19284309200000002,0.08006814604114318,FAG,173,26,25,4.75,1.5,1.5,569,5.2,0.633128834,NA,0.4907993011834377,48.657,45.8051,8.688874274,0.022555163,782.885889,0.006677267,0.122124329,5375.534918,2043.7545788178256,-5.686340290948858,0.09626011688476492,-5.7557008397600615,-0.6303854473482443,-0.020251215193834465,-82.97917572514191,0.23379698546770447,-0.6588943605816496,-1.7049096081190944,1.6702651648099942,-0.10730151741475936,0.24887771627962746
J14OSV27,Chemin des Lots II,1.092638778,0.2737930070292753,OSV,173,25,12,4.58,3.25,1.07,518,4.1,0.573090541,NA,0.5796946114106423,22.451,46.0457,8.423556649,0.021213079,1155.637431,0.003617919,0.124395015,2977.570123,1472.5745148178253,-4.286340290948858,0.20775731388476498,-4.1751180197600615,0.0033145526517558074,1.866210370806166,-64.80459814514191,0.26465730946770455,-0.42665177058164766,-1.8589882287076347,1.826216105828529,-0.254301789483197,0.11878922205256814
