SampleID,BA.0.2006,BA.0.2007,BA.0.2008,BA.0.2009,BA.0.2010,BA.0.2011
J1CAC22,1.61236863,1.97158697,2.39640315,3.05056913,3.66193523,4.16277638
J1COA10,4.25935993,4.58267792,4.83572987,4.87781445,5.16031628,5.26784495
J1COA11,3.55408986,3.78476503,3.93685895,4.02540219,4.30894074,4.6370371
J1COA12,7.92997342,9.0141449,10.21450779,11.30244211,12.12589282,12.4683274
J1FAG2,10.28547284,11.04595424,11.45311133,11.5851827,11.67876407,11.7405376
J1FRA1,3.06251955,3.77903241,4.52241785,5.33178048,5.90053481,6.56378844
J1OSV1,14.31449532,14.66569141,15.63885137,16.42386979,16.92503943,17.39641813
J1POB1,4.37366519,5.11802216,5.82044981,6.57123664,7.43986998,7.87718237
J1POB12,NA,NA,NA,NA,NA,NA
J1POB13,5.7607704,6.35622553,6.77288475,7.28268431,7.78250322,8.21593221
J1POB14,16.86247756,18.97555059,20.66043962,22.41489963,23.40051987,24.52172647
J1POB15,11.96508283,12.86497432,13.83027182,14.19123276,14.27679524,14.63970941
J1POB16,5.13270664,6.47677899,7.39613228,9.40114762,11.51559199,12.99013327
J1POB2,8.69337083,8.96992673,9.75740382,10.29506482,11.48474097,11.98500913
J1POD1,8.52498832,9.5049088,10.09483628,11.10636766,12.34137466,13.61721353
J1POD10,8.77951486,9.92366837,11.23161039,11.79608685,12.60869533,13.46594388
J1POD11,11.00687028,15.01313742,18.14527898,20.40500125,21.60104779,22.57103062
J1POD12,19.75639294,25.01877446,30.409836,34.69587591,37.26118443,40.71762495
J1POD13,NA,NA,NA,NA,NA,NA
J1POD14,11.62830008,12.86889872,15.25814807,15.77683051,16.80607753,18.41520227
J1POD15,6.55082917,7.57026637,8.90475445,9.90721467,11.35815629,12.48234224
J1POD2,4.96208964,5.97845985,6.85208807,7.72204378,8.24876182,9.0587997
J1POG11,7.86030861,9.54627101,10.72130579,12.04212951,13.71632606,14.48287369
J1POG13,7.92568397,9.74638791,12.20938457,13.62249179,16.63121157,18.48187943
J1POG14,4.13970727,5.9268855,9.95026392,14.75524506,18.97264922,23.30612167
J1POG2,4.08959258,4.7082142,5.05756107,5.24979355,5.35907287,5.44572978
J1POT1,8.3675798,10.4546054,11.28840725,13.75200159,14.94360989,15.98201585
J1POT2,1.6403883,1.90564161,2.3632458,3.49501574,4.33272221,4.73922937
J1PRP1,14.86866028,15.37811842,15.82730059,16.1949388,16.42217726,16.69483943
J1PRP10,9.80851683,11.06830098,12.68397594,14.0590805,15.09883398,15.96503705
J1PRP11,7.97199262,8.63662305,10.01319552,11.55694312,12.34976428,12.64211598
J1PRV14,11.23955293,11.56189545,11.73029679,11.9356091,12.49820061,13.83485305
J1QUR1,1.83650517,2.10009461,2.59217267,3.0283137,3.64387186,4.10689255
J1QUR2,3.34626958,4.3856386,5.90563126,7.42362664,9.69709396,12.72545812
J1RHT20,5.19109211,5.84088872,6.31414767,7.06299399,7.85990334,8.71541262
J20BEPA17,9.87671923,11.20709713,12.47601193,13.31634614,13.61741282,13.7346547
J20BEPA18,2.14535455,3.72087701,5.1009443,7.23660822,10.65720395,15.14083157
J20BEPA19,2.81542976,3.93651456,6.9958395,8.38196516,12.90076743,17.22457851
J20BEPO18,0.05072877,0.07186911,0.1021809,0.16751084,0.25170222,0.350079
J20CAC20,2.30247542,3.08723701,4.86909869,6.83155168,8.74770466,10.44782269
J20CAC21,18.55805814,21.74530992,24.36950033,26.9648894,29.38149848,30.66828187
J20COA8,2.92824906,4.48533528,5.09296191,6.13613933,6.69424464,7.35511204
J20COA9,16.43619603,18.19466305,20.62308177,22.52235243,23.7485559,24.99110586
J20POT22,3.1268933,5.54239887,9.04293999,14.92098696,22.83536891,31.34322023
J20PRS14,10.98677076,12.67727865,13.55929198,14.37357316,14.92227156,15.34201014
J20PRS16,21.57941635,23.18285657,24.60410916,26.46399838,27.65818333,28.92497107
J20PRS17,6.17095466,6.35260685,6.50131983,6.62261103,6.6918965,6.7786233
J20RHT8,5.97515725,8.14201679,11.1955934,15.07322077,18.45792518,21.84984641
J21ACP17,13.92437727,15.72212901,17.14326441,17.75133838,18.3084205,18.46387195
J21ACR16,13.5748496,16.04818969,18.17336314,20.28443819,21.78268108,22.94529603
J21ACSP13,10.19178607,10.80644446,12.16632338,12.59773321,13.14251473,13.63403894
J21ACSP15,14.34464656,14.67593421,14.97203611,15.35130143,15.56982095,15.7342512
J21BEA16,8.97466922,10.34590274,11.33222186,12.75547682,13.63271709,14.4463026
J21BEA17,4.87632514,5.77585187,5.88093317,6.26862638,6.47107611,6.7760648
J21BEA18,10.33063598,13.13831111,14.68529907,15.84947179,17.00409054,17.96108505
J21ULA19,11.91282333,14.07355637,15.59849545,16.41305388,16.96124,17.8292167
J22ACP19,3.02552703,3.3093577,3.57778053,3.75548281,3.86063481,4.04113753
J22ACP20,3.28428972,3.51651592,3.68848602,3.81948977,3.99436523,4.19172318
J22ACSA31,4.50523529,4.99937895,5.29045167,5.42869377,5.55177879,5.68753482
J22ACSP16,12.12676902,12.97939892,14.10611297,14.7197401,15.59790597,15.88493284
J22ACSP17,5.89190757,6.90936053,7.72338426,7.98773547,8.25480752,8.5192344
J22ACSP18,4.42352229,5.73121252,6.76992268,7.97095725,8.66376515,9.15714189
J22BEA19,16.51663474,16.74245556,18.10438055,20.21453768,22.82746881,25.1270308
J22BEA20,6.87525654,10.25535792,15.23916264,21.74348073,25.16416226,26.48673958
J22FAG25,11.17137074,11.37251082,11.66662731,12.05409211,12.36510193,12.51620213
J22FRA31,3.32112545,4.09920927,4.8772931,5.65537693,6.43346076,7.21154459
J23POG15,0.5584342,1.17348068,1.97914152,4.36902626,7.69603296,10.61179321
J23POG16,0,0,0.03612066,0.71683016,1.9678043,3.4686187
J23PRP12,0.78574256,2.48525976,3.85547796,5.27155733,9.33836374,14.37547363
J23PRP13,2.7609622,5.22807886,7.23112123,9.66035107,13.74429861,15.21612828
J23PRP14,0,0,0.20666673,2.11409354,6.27888643,8.93914861
J23PRV15,0.71794405,1.33985491,2.08684906,3.20721071,4.5195808,6.7817973
J23PRV16,2.93606201,3.30715478,3.85036777,4.22057619,4.74073753,4.942868
J2ACSA3,13.09799318,13.21801292,13.48315409,13.67404316,13.83372073,14.11849781
J2BEPA4,8.5542989,11.64741006,15.86050842,22.56111194,29.68720169,35.540266
J2BEPO3,0.11888941,0.31938023,0.67506391,0.91220037,0.93338589,1.17394703
J2BEPO4,0.82868439,0.91859819,1.04246438,1.18295769,1.27691722,1.34193371
J2CAC4,0.31816971,1.69250104,2.85226081,4.2164177,7.77725393,11.13714977
J2FAG3,8.15530808,8.47456655,8.62602881,8.73335936,8.84094792,8.93567322
J2FAG4,3.39189728,4.61940177,6.10310313,8.0772238,9.67474251,11.45405125
